2019-09-12 18:40:14.362202	策略初始化完成
2019-09-12 18:40:14.362224	开始回放历史数据
Keep Low=> total_count=3418, avg_price_diff=26, total_volume_a=153428401.0, total_volume_b=49642800.0
Keep Low=> total_count=2, avg_price_diff=78, total_volume_a=156390.0, total_volume_b=87948.0
Keep Low=> total_count=123, avg_price_diff=59, total_volume_a=6236577.0, total_volume_b=3318782.0
Keep Low=> total_count=1210, avg_price_diff=40, total_volume_a=65574913.0, total_volume_b=21788867.0
Keep Low=> total_count=937, avg_price_diff=30, total_volume_a=49097936.0, total_volume_b=14793142.0
Keep Low=> total_count=853, avg_price_diff=32, total_volume_a=37318305.0, total_volume_b=13739265.0
Keep Low=> total_count=4446, avg_price_diff=37, total_volume_a=149605478.0, total_volume_b=72794374.0
Keep Low=> total_count=23, avg_price_diff=60, total_volume_a=6494750.0, total_volume_b=4504483.0
Keep Low=> total_count=90, avg_price_diff=65, total_volume_a=14532192.0, total_volume_b=4519610.0
Keep Low=> total_count=48, avg_price_diff=58, total_volume_a=13735483.0, total_volume_b=4255522.0
Keep Low=> total_count=48, avg_price_diff=62, total_volume_a=12850062.0, total_volume_b=6259523.0
Keep Low=> total_count=326, avg_price_diff=53, total_volume_a=34860338.0, total_volume_b=15993430.0
Keep Low=> total_count=90, avg_price_diff=74, total_volume_a=8339459.0, total_volume_b=3695115.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=462082.0, total_volume_b=69035.0
Keep Low=> total_count=3, avg_price_diff=90, total_volume_a=83720.0, total_volume_b=103930.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=6581.0, total_volume_b=5857.0
Keep Low=> total_count=1, avg_price_diff=90, total_volume_a=38196.0, total_volume_b=161759.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=145331.0, total_volume_b=34375.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=141125.0, total_volume_b=1476.0
Keep Low=> total_count=4, avg_price_diff=90, total_volume_a=293498.0, total_volume_b=281892.0
Keep Low=> total_count=9, avg_price_diff=96, total_volume_a=216877.0, total_volume_b=264662.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=241057.0, total_volume_b=81298.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=42659.0, total_volume_b=24625.0
Keep Low=> total_count=1, avg_price_diff=92, total_volume_a=97363.0, total_volume_b=7250.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=286022.0, total_volume_b=41541.0
Keep Low=> total_count=1, avg_price_diff=97, total_volume_a=345924.0, total_volume_b=64327.0
Keep Low=> total_count=1, avg_price_diff=89, total_volume_a=300354.0, total_volume_b=40691.0
Keep Low=> total_count=1, avg_price_diff=93, total_volume_a=424584.0, total_volume_b=58740.0
Keep Low=> total_count=6, avg_price_diff=82, total_volume_a=1182230.0, total_volume_b=1525685.0
Keep Low=> total_count=1, avg_price_diff=61, total_volume_a=162174.0, total_volume_b=60903.0
Keep Low=> total_count=1, avg_price_diff=95, total_volume_a=28745.0, total_volume_b=10924.0
Keep Low=> total_count=2, avg_price_diff=90, total_volume_a=30053.0, total_volume_b=79312.0
Keep Low=> total_count=3, avg_price_diff=95, total_volume_a=175590.0, total_volume_b=35825.0
Keep Low=> total_count=5, avg_price_diff=91, total_volume_a=1201553.0, total_volume_b=503275.0
Keep Low=> total_count=3, avg_price_diff=20, total_volume_a=2346221.0, total_volume_b=1041379.0
Keep Low=> total_count=3, avg_price_diff=88, total_volume_a=1177564.0, total_volume_b=478873.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=190467.0, total_volume_b=31994.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=151722.0, total_volume_b=181909.0
Keep Low=> total_count=10, avg_price_diff=93, total_volume_a=803089.0, total_volume_b=679593.0
Keep Low=> total_count=4, avg_price_diff=93, total_volume_a=323944.0, total_volume_b=259307.0
Keep Low=> total_count=1, avg_price_diff=96, total_volume_a=25652.0, total_volume_b=8600.0
Keep Low=> total_count=2, avg_price_diff=96, total_volume_a=859362.0, total_volume_b=54177.0
Keep Low=> total_count=16, avg_price_diff=78, total_volume_a=1572110.0, total_volume_b=584338.0
Keep Low=> total_count=149, avg_price_diff=74, total_volume_a=10854968.0, total_volume_b=5857773.0
Keep Low=> total_count=1, avg_price_diff=98, total_volume_a=456885.0, total_volume_b=33959.0
Keep Low=> total_count=51, avg_price_diff=73, total_volume_a=4271839.0, total_volume_b=1495458.0
Keep Low=> total_count=2, avg_price_diff=78, total_volume_a=255198.0, total_volume_b=41713.0
Keep Low=> total_count=36, avg_price_diff=71, total_volume_a=1044446.0, total_volume_b=1045745.0
